start:id	end:id	RELTYPE	COUNT	DISTANCE
2	778	INTERACTS_WITH	2	4275.5
2	777	INTERACTS_WITH	4	25206.75
69017	2	INTERACTS_WITH	9	415.1111111111111
32168	2	INTERACTS_WITH	2	587.5
19664	2	INTERACTS_WITH	2	3074.0
17983	2	INTERACTS_WITH	3	5748.0
16647	2	INTERACTS_WITH	2	26086.5
16641	2	INTERACTS_WITH	4	2689.0
12467	2	INTERACTS_WITH	3	10470.333333333334
12433	2	INTERACTS_WITH	2	44042.5
11493	2	INTERACTS_WITH	2	34053.0
6309	2	INTERACTS_WITH	2	4415.0
4244	2	INTERACTS_WITH	3	20739.333333333332
3591	2	INTERACTS_WITH	2	3911.5
1401	2	INTERACTS_WITH	2	10924.0
777	2	INTERACTS_WITH	2	50415.5
2	80065	ISA	5	432.6
2	55682	ISA	2	530012.0
2	17983	ISA	50	343.0
2	17746	ISA	2	145805.5
2	16647	ISA	89	584.2584269662921
2	16614	ISA	64	303.3125
2	16611	ISA	2	2300.5
2	13207	ISA	2	1692.5
2	12433	ISA	77	1142.012987012987
2	10520	ISA	3	2586.666666666667
2	6682	ISA	3	170479.33333333334
2	4255	ISA	2	4458.5
16614	2	ISA	2	9768.0
16611	2	ISA	3	1533.0
1173990	2	LOCATION_OF	11	324.09090909090907
1172762	2	LOCATION_OF	2	1697.4999999999998
415192	2	LOCATION_OF	4	29033.000000000004
119136	2	LOCATION_OF	4	1024.5
86257	2	LOCATION_OF	2	46365.0
54337	2	LOCATION_OF	3	5669.333333333334
16115	2	LOCATION_OF	4	2449430.0
13211	2	LOCATION_OF	9	6825.555555555556
12605	2	LOCATION_OF	24	14081.791666666668
12496	2	LOCATION_OF	4	114819.75000000001
12467	2	LOCATION_OF	7	4486.142857142857
12428	2	LOCATION_OF	4	1468.5
8229	2	LOCATION_OF	2	12653.0
7559	2	LOCATION_OF	3	37476.66666666667
3800	2	LOCATION_OF	8	130014.125
3784	2	LOCATION_OF	3	30305.666666666664
2992	2	LOCATION_OF	4	130498.0
2	1173990	PART_OF	6	595.8333333333334
2	837988	PART_OF	2	26252.5
2	415192	PART_OF	3	38711.333333333336
2	129131	PART_OF	4	89539.5
2	18206	PART_OF	3	70350.66666666666
2	15714	PART_OF	6	2615.0
2	13593	PART_OF	2	16565.0
2	13211	PART_OF	13	4724.7692307692305
2	12605	PART_OF	13	25998.846153846156
2	12467	PART_OF	55	569.2181818181818
2	12428	PART_OF	4	1468.5
2	3800	PART_OF	7	148587.85714285716
2	3784	PART_OF	4	22728.75
2	537	PREVENTS	2	34171.0
12605	2	PRODUCES	2	169003.5
3800	2	PRODUCES	2	520062.49999999994
2	166887	same_as	2	678.0
2	4244	same_as	2	31110.0
2	1307050	STIMULATES	2	1306.5
2	16647	STIMULATES	2	26086.5
55720	2	STIMULATES	4	951.5
54302	2	STIMULATES	2	3519.4999999999995
6552	2	STIMULATES	2	4554.5
3591	2	STIMULATES	2	3911.5
2557	2	STIMULATES	4	853.5
2	196593	TREATS	14	3849.9285714285716
2	18646	TREATS	3	5804.0
2	18645	TREATS	2	4722.0
2	18332	TREATS	10	141601.0
2	18206	TREATS	3	70350.66666666666
