,0,1,2
0,4.0,0.06779661016949153,1.0224888745413259
1,3.0,0.05172413793103448,0.7668666559059945
2,0.0,0.0,0.0
3,2.0,0.03333333333333333,0.5112444372706629
4,2.0,0.03225806451612903,0.5112444372706629
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,1.0,0.015873015873015872,0.25562221863533147
8,0.0,0.0,0.0
9,1.0,0.015873015873015872,0.25562221863533147
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,3.0,0.05263157894736842,0.7668666559059945
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,1.0,0.015873015873015872,0.25562221863533147
17,0.0,0.0,0.0
18,1.0,0.015873015873015872,0.25562221863533147
19,1.0,0.015873015873015872,0.25562221863533147
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,3.0,0.058823529411764705,0.7668666559059945
23,0.0,0.0,0.0
24,1.0,0.015873015873015872,0.25562221863533147
25,3.0,0.04918032786885246,0.7668666559059945
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,1.0,0.01694915254237288,0.25562221863533147
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,1.0,0.01639344262295082,0.25562221863533147
32,3.0,0.05172413793103448,0.7668666559059945
33,3.0,0.05357142857142857,0.7668666559059945
34,4.0,0.07407407407407407,1.0224888745413259
35,3.0,0.05454545454545454,0.7668666559059945
36,3.0,0.05,0.7668666559059945
37,0.0,0.0,0.0
38,1.0,0.015873015873015872,0.25562221863533147
39,0.0,0.0,0.0
40,4.0,0.07407407407407407,1.0224888745413259
41,3.0,0.05172413793103448,0.7668666559059945
42,6.0,0.12244897959183673,1.5337333118119887
43,5.0,0.08620689655172414,1.2781110931766573
44,1.0,0.017543859649122806,0.25562221863533147
45,5.0,0.1,1.2781110931766573
46,0.0,0.0,0.0
47,1.0,0.015873015873015872,0.25562221863533147
48,1.0,0.015873015873015872,0.25562221863533147
49,2.0,0.03389830508474576,0.5112444372706629
